Institutionsname;Besuche_insgesamt;Besuche_insgesamt;zahlende_Besucherinnen_und _Besucher;zahlende_Besucherinnen_und _Besucher;nicht_zahlende_Besucherinnen_und_Besucher;nicht_zahlende_Besucherinnen_und_Besucher;Besucherinnen;Besucherinnen;Besucher;Besucher;Kinder_und_Jugendliche;Kinder_und_Jugendliche;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Bemerkungen_Angaben_werden_nicht_erhoben;Institutionskategorie
Kroesinger, Hans-Werner;862;1,479;728;-;134;-;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Christoph Winkler;1,233;603;1,027;478;206;125;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Christina Ciupke;610;300;505;136;105;164;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Tanzcompanie Rubato;596;515;481;461;115;54;-;-;-;-;-;-;-;-;-;  Basisfoerderung
cie toula limnaios;5,263;5,314;5,137;5,281;126;33;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Tanztage Berlin;2,194;2,044;1,874;1,798;320;246;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Ballhaus Ost;6,383;7,681;4,894;6,054;1,489;1,627;-;-;-;-;-;-;-;-;Keine Gastspiele; Spielstaettenfoerderung
Theaterkapelle;-;2,900;-;-;-;-;-;-;-;-;-;-;-;-;Angaben ab 2012 verfuegbar; Spielstaettenfoerderung
Heimathafen Neukoelln;14,633;16,238;13,416;14,588;1,217;1,650;-;-;-;-;-;-;-;-;-; Spielstaettenfoerderung
Tanzfabrik Berlin e.V.;5,789;5,706;2,290;3,276;3,499;2,430;-;-;-;-;-;-;-;-;-; Spielstaettenfoerderung
Dock 11;13,803;11,787;6,473;6,421;7,330;5,366;-;-;-;-;-;-;-;-;-; Spielstaettenfoerderung
Laborgras;1,610;963;1,189;511;421;452;-;-;-;-;-;-;-;-;-; Spielstaettenfoerderung
ada Studio & Buehne;1,243;1,077;1,063;917;180;160;-;-;-;-;-;-;-;-;-; Spielstaettenfoerderung
